Color,Code,Shade
Gabon Grey,#E9E9E5,Grey
Gambia Red,#9A171A,Red
Garnet Red Metallic,#8F1B1B,Red
Gazelle Metallic,#D8CEAD,Beige
Gemini Blue Metallic,#35a6f2,Blue
Gemini Grey Metallic,#9AA3A9,Grey
Gentian Blue Metallic,#0d0793,Blue
Geyser Grey,#D7D4C8,Grey
Geyser Grey Metallic,#F3F3ED,Grey
Glacier Blue,#06bdeb,Blue
Glacier Blue ( Light),#eaf8f7,Blue
Glacier Metallic,#c5d9dd,Blue
Glacier White,#F9F9F9,White
Glacier White ( Vintage),#D5E4BE,White
Glacier White Metallic,#F7F7F7,White
Gold Bronze Metallic,#C3BE8F,Gold
Golden Green,#C1CF49,Green
Golden Yellow Metallic,#e7b01a,Yellow
Gold Metallic,#E5AC00,Gold
Golf Blue,#084b98,Blue
Goodwood Green Metallic,#0B3C06,Green
Grand Prix White,#FBFFFF,White
Granite Green Metallic,#A9B3AE,Green
Graphite Grey,#454341,Grey
Graphite Blue Metallic,#3E586A,Blue
Graphite Grey Metallic,#797979,Grey
Graphite Metallic,#BEBEBE,Grey
Green,#5ED58D,Green
Grey Black,#464242,Brown
Grigio Campovolo,#D0D0D0,Grey
Grigio Granito Metallic,#BDBDBD,Grey
Grigio Telesto Metallic,#C7C7D2,Grey
Grigio Telesto Pearl,#B5BABC,White
G T- R S Green,#20C12D,Green
G T Silver,#EFF0F0,Silver
G T Silver Metallic,#e0e0e0,Silver
G T S Red,#AA0000,Red
Guards Red,#FF0000,Red
Gulf Blue,#96D0E5,Blue
Gulf Blue ( Dark),#1a65ba,Blue
Gulf Orange,#ff8c2f,Orange
Hellbronze Metallic,#D1D1B9,Grey
Hellelfenbein,#E9E8C2,White
Heron Grey,#E9E9E4,Grey
Horizon Blue Metallic,#87B2E8,Blue
Ice Grey Metallic,#d9d9d9,Grey
Ice Blue Metallic,#A8C3DA,Blue
Ice Green Metallic,#D0DCD9,Green
Imola Yellow,#D7C317,Yellow
Impulse Red Metallic,#C41F1F,Red
Inari Silver,#BED7C8,Green
Indiana Red Metallic,#B74646,Red
Ipanema Blue Metallic,#16adc8,Blue
Iris Blue,#0b1a85,Blue
Iris Blue Metallic,#9BBACC,Blue
Irish Green,#0A430F,Green
Ivory,#E2E2D7,White
Jade Green,#5DE6BE,Green
Jade Green Metallic,#65AD8C,Green
Jarama Beige,#AD9A7B,Beige
Java Green Metallic,#2A8E33,Green
Jet Black Metallic,#211B1B,Black
Jet Green Metallic,#359154,Green
Kalahari Beige Metallic,#D5D4B6,Beige
Kiln Red Metallic,#C03B25,Red
Lagogruen Metallic,#163a36,Green
Lagoon Green Metallic,#a6c9ca,Green
Laguna Blue,#7DCDE7,Blue
Lapis Blue,#091d66,Blue
Lava Grey Metallic,#413838,Grey
Lava Orange,#FF4200,Orange
L E Bumble Bee,#030301,Black
L E Creamsicle,#FDF9D4,Beige
Lemon( Canary) Yellow,#FEF56A,Yellow
Lhasa Green Metallic,#54756D,Green
Lido Gold,#DCF1B7,Gold
Light Green,#8BCC45,Green
Light Oak Green Metallic,#364A38,Green
Light Blue Metallic,#9DC0CC,Blue
Light Bronze Metallic,#DCD5B7,Brown
Lighter Green,#139E55,Green
Light Green Metallic,#A0BB61,Green
Light Ivory,#f0f0f0,White
Light Red,#ed1a1a,Red
Light Yellow,#f7ff9e,Yellow
Lime Gold Metallic,#E1E8B4,Green
Lime Green,#88E816,Green
Lime Green Metallic,#659D22,Green
Linden Green,#E0F037,Green
Linen Grey,#DBDAC7,Grey
Linen Grey Metallic,#E4E4D6,Grey
Linen Metallic,#F3F3D7,White
Liquid Metal Chrome Blue,#E3E0F8,Blue
Liquid Metal Silver,#D9D9D9,Silver
Lizard Green,#7EE410,Green
Luxor Beige Metallic,#7B694C,Beige
